id;company;market_sector_id;symbol;bdr;cnpj;main_activity;market_sector;website
196;CEMIG;3;CMIG4;BR;17.155.730/0001-64;Concessionária de Serviço Público de Energia Elétrica.;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.cemig.com.br
197;CEMIG DIST;3;Nenhum ativo na B3;BR;06.981.180/0001-16;O Objetivo Da Companhia É Estudar. Planejar. Projetar. Construir. Operar E Explorar Sistemas de Distribuição E Comercialização de Energia Elétrica E Serviços Correlatos.;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.cemig.infoinvest.com.br
198;CEMIG GT;3;Nenhum ativo na B3;BR;06.981.176/0001-58;Realiza Atividades de Geração. Transmissão E Comercialização de Energia Elétrica E Serviços Correlatos Que Lhe Tenham Sido Ou Venham A Ser Concedidos.;Utilidade Pública / Energia Elétrica / Energia Elétrica;http://ri.cemig.com.br
199;CENTAURO;1;CNTO3;BR;13.217.485/0001-11;A Companhia Tem Por Objeto Social (a) Administração de Bens Próprios. E. (b) A Participação. como Sócia Ou Acionista. em Outras Empresas.;Consumo Cíclico / Comércio / Produtos Diversos;www.centauro.com.br/ri
200;CESP;3;CESP3;BR;60.933.603/0001-78;Geração E Comercialização de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.cesp.com.br
201;CESP;3;CESP5;BR;60.933.603/0001-78;Geração E Comercialização de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.cesp.com.br
202;CESP;3;CESP6;BR;60.933.603/0001-78;Geração E Comercialização de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.cesp.com.br
203;CHARTER COMM;9;CHCM34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Não Classificados / Não Classificado / Não Classificados;Não Informado
204;CHESAPEAKE;12;CHKE34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Exploração. Refino e Distribuição;http://www.chk.com
205;CHEVRON;12;CHVX34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Exploração. Refino e Distribuição;www.chevron.com
206;CHURCH DWIGH;9;CHDC34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Não Classificados / Não Classificado / Não Classificados;Não Informado
207;CIA HERING;1;HGTX3;BR;78.876.950/0001-71;Confecção de Artigos Do Vestuário E Acessórios;Consumo Cíclico / Tecidos. Vestuário e Calçados / Vestuário;www.ciahering.com.br
